client_id,feeder_id,region
RES_NOR_0152,NORD_F1,NORD
RES_NOR_0016,NORD_F1,NORD
RES_NOR_0012,NORD_F1,NORD
IND_NOR_0093,NORD_F1,NORD
RES_NOR_0025,NORD_F1,NORD
IND_NOR_0150,NORD_F1,NORD
IND_NOR_0256,NORD_F1,NORD
RES_NOR_0285,NORD_F1,NORD
COM_NOR_0101,NORD_F1,NORD
RES_NOR_0083,NORD_F1,NORD
RES_NOR_0001,NORD_F1,NORD
RES_NOR_0134,NORD_F1,NORD
RES_NOR_0172,NORD_F1,NORD
RES_NOR_0297,NORD_F1,NORD
RES_NOR_0251,NORD_F1,NORD
RES_NOR_0146,NORD_F1,NORD
RES_NOR_0257,NORD_F1,NORD
RES_NOR_0097,NORD_F1,NORD
AGR_NOR_0250,NORD_F1,NORD
IND_NOR_0143,NORD_F1,NORD
RES_NOR_0045,NORD_F1,NORD
COM_NOR_0018,NORD_F1,NORD
RES_NOR_0173,NORD_F1,NORD
RES_NOR_0242,NORD_F2,NORD
RES_NOR_0210,NORD_F2,NORD
RES_NOR_0003,NORD_F2,NORD
RES_NOR_0214,NORD_F2,NORD
RES_NOR_0258,NORD_F2,NORD
RES_NOR_0136,NORD_F2,NORD
IND_NOR_0035,NORD_F2,NORD
RES_NOR_0176,NORD_F2,NORD
IND_NOR_0019,NORD_F2,NORD
RES_NOR_0216,NORD_F2,NORD
IND_NOR_0112,NORD_F2,NORD
RES_NOR_0293,NORD_F2,NORD
RES_NOR_0268,NORD_F2,NORD
COM_NOR_0212,NORD_F2,NORD
COM_NOR_0078,NORD_F2,NORD
RES_NOR_0063,NORD_F2,NORD
RES_NOR_0020,NORD_F2,NORD
AGR_NOR_0188,NORD_F2,NORD
IND_NOR_0081,NORD_F2,NORD
COM_NOR_0144,NORD_F2,NORD
COM_NOR_0117,NORD_F2,NORD
COM_NOR_0275,NORD_F2,NORD
IND_NOR_0281,NORD_F2,NORD
RES_NOR_0182,NORD_F3,NORD
COM_NOR_0108,NORD_F3,NORD
RES_NOR_0071,NORD_F3,NORD
AGR_NOR_0027,NORD_F3,NORD
COM_NOR_0181,NORD_F3,NORD
RES_NOR_0098,NORD_F3,NORD
RES_NOR_0074,NORD_F3,NORD
AGR_NOR_0135,NORD_F3,NORD
AGR_NOR_0109,NORD_F3,NORD
