timestamp,client_id,region,profile,consumption_kwh
2024-01-01,RES_OUE_0000,OUEST,RESIDENTIEL,15.94
2024-01-02,RES_OUE_0000,OUEST,RESIDENTIEL,14.85
2024-01-03,RES_OUE_0000,OUEST,RESIDENTIEL,15.95
2024-01-04,RES_OUE_0000,OUEST,RESIDENTIEL,16.66
2024-01-05,RES_OUE_0000,OUEST,RESIDENTIEL,15.49
2024-01-06,RES_OUE_0000,OUEST,RESIDENTIEL,17.91
2024-01-07,RES_OUE_0000,OUEST,RESIDENTIEL,18.17
2024-01-08,RES_OUE_0000,OUEST,RESIDENTIEL,14.34
2024-01-09,RES_OUE_0000,OUEST,RESIDENTIEL,14.12
2024-01-10,RES_OUE_0000,OUEST,RESIDENTIEL,16.43
2024-01-11,RES_OUE_0000,OUEST,RESIDENTIEL,15.89
2024-01-12,RES_OUE_0000,OUEST,RESIDENTIEL,13.53
2024-01-13,RES_OUE_0000,OUEST,RESIDENTIEL,16.03
2024-01-14,RES_OUE_0000,OUEST,RESIDENTIEL,18.65
2024-01-15,RES_OUE_0000,OUEST,RESIDENTIEL,15.23
2024-01-16,RES_OUE_0000,OUEST,RESIDENTIEL,14.52
2024-01-17,RES_OUE_0000,OUEST,RESIDENTIEL,14.88
2024-01-18,RES_OUE_0000,OUEST,RESIDENTIEL,15.88
2024-01-19,RES_OUE_0000,OUEST,RESIDENTIEL,15.86
2024-01-20,RES_OUE_0000,OUEST,RESIDENTIEL,19.66
2024-01-21,RES_OUE_0000,OUEST,RESIDENTIEL,17.93
2024-01-22,RES_OUE_0000,OUEST,RESIDENTIEL,14.28
2024-01-23,RES_OUE_0000,OUEST,RESIDENTIEL,15.02
2024-01-24,RES_OUE_0000,OUEST,RESIDENTIEL,11.99
2024-01-25,RES_OUE_0000,OUEST,RESIDENTIEL,14.2
2024-01-26,RES_OUE_0000,OUEST,RESIDENTIEL,15.53
2024-01-27,RES_OUE_0000,OUEST,RESIDENTIEL,19.97
2024-01-28,RES_OUE_0000,OUEST,RESIDENTIEL,16.98
2024-01-29,RES_OUE_0000,OUEST,RESIDENTIEL,14.14
2024-01-30,RES_OUE_0000,OUEST,RESIDENTIEL,15.02
2024-01-31,RES_OUE_0000,OUEST,RESIDENTIEL,14.79
2024-02-01,RES_OUE_0000,OUEST,RESIDENTIEL,15.44
2024-02-02,RES_OUE_0000,OUEST,RESIDENTIEL,12.21
2024-02-03,RES_OUE_0000,OUEST,RESIDENTIEL,16.22
2024-02-04,RES_OUE_0000,OUEST,RESIDENTIEL,20.88
2024-02-05,RES_OUE_0000,OUEST,RESIDENTIEL,13.28
2024-02-06,RES_OUE_0000,OUEST,RESIDENTIEL,14.37
2024-02-07,RES_OUE_0000,OUEST,RESIDENTIEL,13.74
2024-02-08,RES_OUE_0000,OUEST,RESIDENTIEL,15.72
2024-02-09,RES_OUE_0000,OUEST,RESIDENTIEL,12.27
2024-02-10,RES_OUE_0000,OUEST,RESIDENTIEL,17.37
2024-02-11,RES_OUE_0000,OUEST,RESIDENTIEL,18.74
2024-02-12,RES_OUE_0000,OUEST,RESIDENTIEL,12.4
2024-02-13,RES_OUE_0000,OUEST,RESIDENTIEL,18.18
2024-02-14,RES_OUE_0000,OUEST,RESIDENTIEL,14.03
2024-02-15,RES_OUE_0000,OUEST,RESIDENTIEL,17.74
2024-02-16,RES_OUE_0000,OUEST,RESIDENTIEL,15.42
2024-02-17,RES_OUE_0000,OUEST,RESIDENTIEL,16.96
2024-02-18,RES_OUE_0000,OUEST,RESIDENTIEL,14.15
2024-02-19,RES_OUE_0000,OUEST,RESIDENTIEL,15.2
2024-02-20,RES_OUE_0000,OUEST,RESIDENTIEL,17.94
2024-02-21,RES_OUE_0000,OUEST,RESIDENTIEL,13.98
2024-02-22,RES_OUE_0000,OUEST,RESIDENTIEL,14.62
2024-02-23,RES_OUE_0000,OUEST,RESIDENTIEL,15.05
2024-02-24,RES_OUE_0000,OUEST,RESIDENTIEL,20.19
2024-02-25,RES_OUE_0000,OUEST,RESIDENTIEL,18.22
2024-02-26,RES_OUE_0000,OUEST,RESIDENTIEL,15.19
2024-02-27,RES_OUE_0000,OUEST,RESIDENTIEL,14.03
2024-02-28,RES_OUE_0000,OUEST,RESIDENTIEL,12.81
2024-02-29,RES_OUE_0000,OUEST,RESIDENTIEL,16.52
2024-03-01,RES_OUE_0000,OUEST,RESIDENTIEL,14.25
