date,feeder_id,region,injection_kwh,total_conso,n_clients
2024-01-01,NORD_F1,NORD,1363.8,1293.2,23
2024-01-02,NORD_F1,NORD,1262.2,1221.4,23
2024-01-03,NORD_F1,NORD,1297.9,1266.0,23
2024-01-04,NORD_F1,NORD,1318.9,1259.3,23
2024-01-05,NORD_F1,NORD,1281.4,1250.0,23
2024-01-06,NORD_F1,NORD,932.2,885.7,23
2024-01-07,NORD_F1,NORD,912.7,873.0,23
2024-01-08,NORD_F1,NORD,1318.7,1250.3,23
2024-01-09,NORD_F1,NORD,1279.8,1254.2,23
2024-01-10,NORD_F1,NORD,1359.4,1286.5,23
2024-01-11,NORD_F1,NORD,1325.7,1264.2,23
2024-01-12,NORD_F1,NORD,1306.7,1241.4,23
2024-01-13,NORD_F1,NORD,910.4,892.6,23
2024-01-14,NORD_F1,NORD,870.2,851.7,23
2024-01-15,NORD_F1,NORD,1312.5,1283.7,23
2024-01-16,NORD_F1,NORD,1265.5,1232.4,23
2024-01-17,NORD_F1,NORD,1275.2,1204.5,23
2024-01-18,NORD_F1,NORD,1318.4,1256.2,23
2024-01-19,NORD_F1,NORD,1286.2,1248.0,23
2024-01-20,NORD_F1,NORD,884.6,850.4,23
2024-01-21,NORD_F1,NORD,918.2,885.9,23
2024-01-22,NORD_F1,NORD,1304.9,1246.0,23
2024-01-23,NORD_F1,NORD,1296.2,1246.3,23
2024-01-24,NORD_F1,NORD,1332.5,1279.3,23
2024-01-25,NORD_F1,NORD,1309.3,1238.1,23
2024-01-26,NORD_F1,NORD,1260.2,1232.3,23
2024-01-27,NORD_F1,NORD,912.1,886.6,23
2024-01-28,NORD_F1,NORD,877.9,850.9,23
2024-01-29,NORD_F1,NORD,1345.8,1270.7,23
2024-01-30,NORD_F1,NORD,1280.9,1254.0,23
2024-01-31,NORD_F1,NORD,1330.9,1255.7,23
2024-02-01,NORD_F1,NORD,1339.5,1265.4,23
2024-02-02,NORD_F1,NORD,1345.9,1296.2,23
2024-02-03,NORD_F1,NORD,918.1,866.5,23
2024-02-04,NORD_F1,NORD,915.0,866.2,23
2024-02-05,NORD_F1,NORD,1284.2,1245.9,23
2024-02-06,NORD_F1,NORD,1321.7,1257.4,23
2024-02-07,NORD_F1,NORD,1368.8,1297.8,23
2024-02-08,NORD_F1,NORD,1350.9,1283.6,23
2024-02-09,NORD_F1,NORD,1314.3,1249.7,23
2024-02-10,NORD_F1,NORD,922.7,886.2,23
2024-02-11,NORD_F1,NORD,900.0,879.7,23
2024-02-12,NORD_F1,NORD,1327.7,1258.6,23
2024-02-13,NORD_F1,NORD,1286.6,1251.6,23
2024-02-14,NORD_F1,NORD,1308.5,1251.8,23
2024-02-15,NORD_F1,NORD,1277.5,1219.7,23
2024-02-16,NORD_F1,NORD,1297.3,1245.6,23
2024-02-17,NORD_F1,NORD,908.2,870.2,23
2024-02-18,NORD_F1,NORD,888.1,841.2,23
2024-02-19,NORD_F1,NORD,1311.7,1245.1,23
2024-02-20,NORD_F1,NORD,1262.7,1204.6,23
2024-02-21,NORD_F1,NORD,1316.3,1275.5,23
2024-02-22,NORD_F1,NORD,1297.1,1272.2,23
2024-02-23,NORD_F1,NORD,1325.7,1268.2,23
2024-02-24,NORD_F1,NORD,871.3,845.9,23
2024-02-25,NORD_F1,NORD,894.2,861.8,23
2024-02-26,NORD_F1,NORD,1244.9,1212.6,23
2024-02-27,NORD_F1,NORD,1290.3,1252.9,23
2024-02-28,NORD_F1,NORD,1274.1,1250.0,23
2024-02-29,NORD_F1,NORD,1281.2,1224.3,23
2024-03-01,NORD_F1,NORD,1273.6,1247.5,23
2024-03-02,NORD_F1,NORD,917.4,884.4,23
2024-03-03,NORD_F1,NORD,878.0,858.3,23
2024-03-04,NORD_F1,NORD,1327.9,1254.0,23
2024-03-05,NORD_F1,NORD,1337.9,1293.1,23
2024-03-06,NORD_F1,NORD,1285.6,1256.6,23
2024-03-07,NORD_F1,NORD,1303.2,1253.0,23
2024-03-08,NORD_F1,NORD,1327.1,1282.2,23
2024-03-09,NORD_F1,NORD,913.0,894.5,23
2024-03-10,NORD_F1,NORD,905.2,856.6,23
2024-03-11,NORD_F1,NORD,1317.6,1250.6,23
2024-03-12,NORD_F1,NORD,1306.4,1238.7,23
2024-03-13,NORD_F1,NORD,1294.3,1269.7,23
2024-03-14,NORD_F1,NORD,1344.9,1275.8,23
2024-03-15,NORD_F1,NORD,1303.4,1250.6,23
2024-03-16,NORD_F1,NORD,866.5,850.0,23
2024-03-17,NORD_F1,NORD,890.9,862.6,23
2024-03-18,NORD_F1,NORD,1247.3,1222.4,23
2024-03-19,NORD_F1,NORD,1294.1,1254.9,23
2024-03-20,NORD_F1,NORD,1299.4,1268.2,23
2024-03-21,NORD_F1,NORD,1336.9,1273.4,23
2024-03-22,NORD_F1,NORD,1271.6,1237.5,23
2024-03-23,NORD_F1,NORD,937.9,894.8,23
2024-03-24,NORD_F1,NORD,876.5,844.6,23
2024-03-25,NORD_F1,NORD,1258.9,1220.1,23
2024-03-26,NORD_F1,NORD,1301.4,1233.4,23
2024-03-27,NORD_F1,NORD,1302.9,1256.8,23
2024-03-28,NORD_F1,NORD,1314.0,1248.2,23
2024-03-29,NORD_F1,NORD,1335.9,1284.6,23
2024-03-30,NORD_F1,NORD,902.8,876.8,23
2024-01-01,NORD_F2,NORD,1542.0,1460.5,23
2024-01-02,NORD_F2,NORD,1604.1,1547.1,23
2024-01-03,NORD_F2,NORD,1597.7,1521.0,23
2024-01-04,NORD_F2,NORD,1553.5,1511.8,23
2024-01-05,NORD_F2,NORD,1534.7,1465.4,23
2024-01-06,NORD_F2,NORD,978.3,928.8,23
2024-01-07,NORD_F2,NORD,986.7,932.3,23
2024-01-08,NORD_F2,NORD,1526.7,1497.2,23
2024-01-09,NORD_F2,NORD,1524.9,1485.4,23
2024-01-10,NORD_F2,NORD,1565.7,1492.9,23
2024-01-11,NORD_F2,NORD,1557.3,1481.4,23
2024-01-12,NORD_F2,NORD,1460.3,1418.0,23
2024-01-13,NORD_F2,NORD,1023.2,977.3,23
2024-01-14,NORD_F2,NORD,994.4,955.3,23
2024-01-15,NORD_F2,NORD,1554.6,1466.2,23
2024-01-16,NORD_F2,NORD,1572.3,1482.8,23
2024-01-17,NORD_F2,NORD,1566.8,1493.5,23
2024-01-18,NORD_F2,NORD,1530.4,1442.9,23
2024-01-19,NORD_F2,NORD,1558.6,1497.6,23
2024-01-20,NORD_F2,NORD,1014.9,964.4,23
2024-01-21,NORD_F2,NORD,1001.3,946.5,23
2024-01-22,NORD_F2,NORD,1536.2,1492.7,23
2024-01-23,NORD_F2,NORD,1608.7,1552.6,23
2024-01-24,NORD_F2,NORD,1589.5,1516.8,23
2024-01-25,NORD_F2,NORD,1551.2,1495.2,23
2024-01-26,NORD_F2,NORD,1554.6,1485.0,23
2024-01-27,NORD_F2,NORD,1019.0,992.0,23
2024-01-28,NORD_F2,NORD,1004.5,965.0,23
2024-01-29,NORD_F2,NORD,1542.7,1488.9,23
2024-01-30,NORD_F2,NORD,1590.1,1508.9,23
2024-01-31,NORD_F2,NORD,1544.4,1497.9,23
2024-02-01,NORD_F2,NORD,1603.9,1521.2,23
2024-02-02,NORD_F2,NORD,1514.2,1473.5,23
2024-02-03,NORD_F2,NORD,976.4,957.8,23
2024-02-04,NORD_F2,NORD,951.2,917.1,23
2024-02-05,NORD_F2,NORD,1586.3,1518.8,23
2024-02-06,NORD_F2,NORD,1553.8,1516.8,23
2024-02-07,NORD_F2,NORD,1571.5,1513.9,23
2024-02-08,NORD_F2,NORD,1548.9,1513.7,23
2024-02-09,NORD_F2,NORD,1527.2,1474.9,23
2024-02-10,NORD_F2,NORD,966.5,935.8,23
2024-02-11,NORD_F2,NORD,991.8,949.1,23
2024-02-12,NORD_F2,NORD,1515.6,1472.9,23
2024-02-13,NORD_F2,NORD,1521.5,1468.9,23
2024-02-14,NORD_F2,NORD,1537.8,1473.0,23
2024-02-15,NORD_F2,NORD,1518.9,1477.0,23
2024-02-16,NORD_F2,NORD,1581.9,1500.9,23
2024-02-17,NORD_F2,NORD,988.7,938.0,23
2024-02-18,NORD_F2,NORD,1033.9,978.5,23
2024-02-19,NORD_F2,NORD,1544.8,1477.8,23
2024-02-20,NORD_F2,NORD,1586.5,1510.2,23
2024-02-21,NORD_F2,NORD,1589.4,1503.0,23
2024-02-22,NORD_F2,NORD,1499.2,1445.4,23
2024-02-23,NORD_F2,NORD,1590.2,1540.9,23
2024-02-24,NORD_F2,NORD,987.6,957.8,23
2024-02-25,NORD_F2,NORD,985.1,956.1,23
2024-02-26,NORD_F2,NORD,1460.6,1429.4,23
2024-02-27,NORD_F2,NORD,1567.5,1512.5,23
2024-02-28,NORD_F2,NORD,1509.1,1479.0,23
2024-02-29,NORD_F2,NORD,1564.5,1490.3,23
2024-03-01,NORD_F2,NORD,1537.7,1495.6,23
2024-03-02,NORD_F2,NORD,991.8,972.1,23
2024-03-03,NORD_F2,NORD,1021.7,970.4,23
2024-03-04,NORD_F2,NORD,1524.4,1490.3,23
2024-03-05,NORD_F2,NORD,1516.6,1458.7,23
2024-03-06,NORD_F2,NORD,1553.8,1482.4,23
2024-03-07,NORD_F2,NORD,1532.5,1467.0,23
2024-03-08,NORD_F2,NORD,1576.4,1499.8,23
2024-03-09,NORD_F2,NORD,1032.3,976.6,23
2024-03-10,NORD_F2,NORD,1001.0,954.0,23
2024-03-11,NORD_F2,NORD,1570.8,1490.8,23
2024-03-12,NORD_F2,NORD,1525.4,1442.5,23
2024-03-13,NORD_F2,NORD,1580.6,1543.7,23
2024-03-14,NORD_F2,NORD,1542.1,1478.8,23
2024-03-15,NORD_F2,NORD,1574.0,1501.4,23
2024-03-16,NORD_F2,NORD,993.8,940.9,23
2024-03-17,NORD_F2,NORD,982.4,946.6,23
2024-03-18,NORD_F2,NORD,1594.1,1512.2,23
2024-03-19,NORD_F2,NORD,1542.7,1500.7,23
2024-03-20,NORD_F2,NORD,1562.9,1505.2,23
2024-03-21,NORD_F2,NORD,1583.3,1515.4,23
2024-03-22,NORD_F2,NORD,1552.1,1513.0,23
2024-03-23,NORD_F2,NORD,1003.9,972.7,23
2024-03-24,NORD_F2,NORD,1013.4,963.7,23
2024-03-25,NORD_F2,NORD,1619.5,1530.7,23
2024-03-26,NORD_F2,NORD,1531.2,1491.9,23
2024-03-27,NORD_F2,NORD,1564.7,1510.2,23
2024-03-28,NORD_F2,NORD,1587.3,1499.4,23
2024-03-29,NORD_F2,NORD,1577.7,1499.4,23
2024-03-30,NORD_F2,NORD,1004.9,954.8,23
2024-01-01,NORD_F3,NORD,1097.0,1069.6,22
2024-01-02,NORD_F3,NORD,1107.3,1071.9,22
2024-01-03,NORD_F3,NORD,1041.6,1009.6,22
2024-01-04,NORD_F3,NORD,1052.2,1009.7,22
2024-01-05,NORD_F3,NORD,1043.3,1006.1,22
2024-01-06,NORD_F3,NORD,744.0,701.6,22
2024-01-07,NORD_F3,NORD,794.0,760.6,22
2024-01-08,NORD_F3,NORD,998.2,975.8,22
2024-01-09,NORD_F3,NORD,1053.2,1030.4,22
2024-01-10,NORD_F3,NORD,1035.9,1013.0,22
2024-01-11,NORD_F3,NORD,807.1,1027.3,22
2024-01-12,NORD_F3,NORD,1051.5,998.3,22
2024-01-13,NORD_F3,NORD,758.0,725.0,22
2024-01-14,NORD_F3,NORD,728.1,702.5,22
2024-01-15,NORD_F3,NORD,1071.6,1044.6,22
2024-01-16,NORD_F3,NORD,1082.0,1022.7,22
2024-01-17,NORD_F3,NORD,1061.5,1041.3,22
2024-01-18,NORD_F3,NORD,1030.2,1004.6,22
2024-01-19,NORD_F3,NORD,1045.9,993.2,22
2024-01-20,NORD_F3,NORD,746.6,730.9,22
2024-01-21,NORD_F3,NORD,786.1,761.5,22
2024-01-22,NORD_F3,NORD,1058.0,1016.7,22
2024-01-23,NORD_F3,NORD,1066.9,1038.2,22
2024-01-24,NORD_F3,NORD,1044.8,1004.4,22
2024-01-25,NORD_F3,NORD,1008.1,976.0,22
2024-01-26,NORD_F3,NORD,1039.8,989.8,22
2024-01-27,NORD_F3,NORD,714.2,699.9,22
2024-01-28,NORD_F3,NORD,765.5,738.4,22
2024-01-29,NORD_F3,NORD,1068.6,1012.5,22
2024-01-30,NORD_F3,NORD,1063.8,1021.6,22
2024-01-31,NORD_F3,NORD,1068.5,1027.8,22
2024-02-01,NORD_F3,NORD,1073.2,1021.2,22
2024-02-02,NORD_F3,NORD,1127.5,1065.3,22
2024-02-03,NORD_F3,NORD,742.0,708.0,22
2024-02-04,NORD_F3,NORD,761.3,734.9,22
2024-02-05,NORD_F3,NORD,1094.7,1036.4,22
2024-02-06,NORD_F3,NORD,1058.7,1026.4,22
2024-02-07,NORD_F3,NORD,1051.5,1008.2,22
2024-02-08,NORD_F3,NORD,1114.5,1057.9,22
2024-02-09,NORD_F3,NORD,1082.1,1061.1,22
2024-02-10,NORD_F3,NORD,707.1,691.7,22
2024-02-11,NORD_F3,NORD,746.9,727.5,22
2024-02-12,NORD_F3,NORD,1062.0,1038.5,22
2024-02-13,NORD_F3,NORD,1135.8,1072.7,22
2024-02-14,NORD_F3,NORD,1068.2,1026.9,22
2024-02-15,NORD_F3,NORD,1106.8,1072.3,22
2024-02-16,NORD_F3,NORD,1114.7,1059.0,22
2024-02-17,NORD_F3,NORD,771.8,738.2,22
2024-02-18,NORD_F3,NORD,538.6,735.4,22
2024-02-19,NORD_F3,NORD,1096.4,1037.6,22
2024-02-20,NORD_F3,NORD,1054.3,1019.8,22
2024-02-21,NORD_F3,NORD,1043.4,999.2,22
2024-02-22,NORD_F3,NORD,1077.6,1043.0,22
2024-02-23,NORD_F3,NORD,1105.7,1060.9,22
2024-02-24,NORD_F3,NORD,756.3,734.0,22
2024-02-25,NORD_F3,NORD,735.7,720.9,22
2024-02-26,NORD_F3,NORD,1027.5,1006.3,22
2024-02-27,NORD_F3,NORD,1068.7,1026.2,22
2024-02-28,NORD_F3,NORD,1050.8,1022.5,22
2024-02-29,NORD_F3,NORD,994.4,963.7,22
2024-03-01,NORD_F3,NORD,1077.9,1042.8,22
2024-03-02,NORD_F3,NORD,787.5,745.4,22
2024-03-03,NORD_F3,NORD,731.0,710.9,22
2024-03-04,NORD_F3,NORD,1091.7,1031.9,22
2024-03-05,NORD_F3,NORD,1090.2,1033.7,22
2024-03-06,NORD_F3,NORD,1094.6,1051.5,22
2024-03-07,NORD_F3,NORD,1020.5,984.1,22
2024-03-08,NORD_F3,NORD,920.2,1059.3,22
2024-03-09,NORD_F3,NORD,717.0,692.6,22
2024-03-10,NORD_F3,NORD,731.8,701.3,22
2024-03-11,NORD_F3,NORD,1047.7,1009.2,22
2024-03-12,NORD_F3,NORD,1054.5,1019.0,22
2024-03-13,NORD_F3,NORD,822.2,1004.6,22
2024-03-14,NORD_F3,NORD,1096.1,1035.5,22
2024-03-15,NORD_F3,NORD,1085.0,1031.2,22
2024-03-16,NORD_F3,NORD,758.2,725.8,22
2024-03-17,NORD_F3,NORD,532.6,718.2,22
2024-03-18,NORD_F3,NORD,1038.7,1013.0,22
2024-03-19,NORD_F3,NORD,1101.9,1041.4,22
2024-03-20,NORD_F3,NORD,1038.7,998.5,22
2024-03-21,NORD_F3,NORD,1051.8,1012.4,22
2024-03-22,NORD_F3,NORD,1087.7,1042.3,22
2024-03-23,NORD_F3,NORD,742.3,724.8,22
2024-03-24,NORD_F3,NORD,617.2,745.4,22
2024-03-25,NORD_F3,NORD,1079.7,1020.6,22
2024-03-26,NORD_F3,NORD,998.2,965.0,22
2024-03-27,NORD_F3,NORD,1077.8,1041.7,22
2024-03-28,NORD_F3,NORD,1111.1,1052.3,22
2024-03-29,NORD_F3,NORD,956.7,1047.5,22
2024-03-30,NORD_F3,NORD,762.1,735.7,22
2024-01-01,SUD_F1,SUD,994.8,976.0,20
2024-01-02,SUD_F1,SUD,984.3,954.7,20
2024-01-03,SUD_F1,SUD,865.1,843.0,20
2024-01-04,SUD_F1,SUD,1059.2,1005.4,20
2024-01-05,SUD_F1,SUD,1043.1,986.7,20
2024-01-06,SUD_F1,SUD,631.9,619.3,20
2024-01-07,SUD_F1,SUD,632.6,607.7,20
2024-01-08,SUD_F1,SUD,978.5,934.1,20
2024-01-09,SUD_F1,SUD,892.4,842.6,20
2024-01-10,SUD_F1,SUD,977.8,933.0,20
2024-01-11,SUD_F1,SUD,986.8,965.0,20
2024-01-12,SUD_F1,SUD,1023.5,995.2,20
2024-01-13,SUD_F1,SUD,693.3,669.7,20
2024-01-14,SUD_F1,SUD,698.0,664.1,20
2024-01-15,SUD_F1,SUD,1003.5,951.6,20
2024-01-16,SUD_F1,SUD,999.9,974.1,20
2024-01-17,SUD_F1,SUD,925.5,896.3,20
2024-01-18,SUD_F1,SUD,1015.0,962.8,20
2024-01-19,SUD_F1,SUD,952.8,905.8,20
2024-01-20,SUD_F1,SUD,607.2,591.8,20
2024-01-21,SUD_F1,SUD,695.0,656.4,20
2024-01-22,SUD_F1,SUD,1016.9,970.2,20
2024-01-23,SUD_F1,SUD,988.9,957.6,20
2024-01-24,SUD_F1,SUD,909.7,866.7,20
2024-01-25,SUD_F1,SUD,978.9,957.7,20
2024-01-26,SUD_F1,SUD,1000.5,964.8,20
2024-01-27,SUD_F1,SUD,645.7,618.7,20
2024-01-28,SUD_F1,SUD,618.0,595.7,20
2024-01-29,SUD_F1,SUD,962.9,937.5,20
2024-01-30,SUD_F1,SUD,965.8,912.3,20
2024-01-31,SUD_F1,SUD,1003.6,982.7,20
2024-02-01,SUD_F1,SUD,992.7,950.7,20
2024-02-02,SUD_F1,SUD,932.0,886.5,20
2024-02-03,SUD_F1,SUD,688.1,655.0,20
2024-02-04,SUD_F1,SUD,674.1,653.9,20
2024-02-05,SUD_F1,SUD,976.2,957.0,20
2024-02-06,SUD_F1,SUD,977.7,954.7,20
2024-02-07,SUD_F1,SUD,1030.1,985.6,20
2024-02-08,SUD_F1,SUD,995.6,940.5,20
2024-02-09,SUD_F1,SUD,914.1,893.4,20
2024-02-10,SUD_F1,SUD,656.7,631.3,20
2024-02-11,SUD_F1,SUD,656.7,632.7,20
2024-02-12,SUD_F1,SUD,1033.6,983.8,20
2024-02-13,SUD_F1,SUD,1010.8,983.4,20
2024-02-14,SUD_F1,SUD,927.0,900.5,20
2024-02-15,SUD_F1,SUD,1050.4,1011.9,20
2024-02-16,SUD_F1,SUD,1065.2,1006.1,20
2024-02-17,SUD_F1,SUD,688.1,648.8,20
2024-02-18,SUD_F1,SUD,645.2,626.4,20
2024-02-19,SUD_F1,SUD,1007.6,974.8,20
2024-02-20,SUD_F1,SUD,982.6,943.9,20
2024-02-21,SUD_F1,SUD,843.4,826.2,20
2024-02-22,SUD_F1,SUD,1010.6,966.7,20
2024-02-23,SUD_F1,SUD,1030.7,986.1,20
2024-02-24,SUD_F1,SUD,617.8,598.6,20
2024-02-25,SUD_F1,SUD,618.2,602.3,20
2024-02-26,SUD_F1,SUD,946.4,895.5,20
2024-02-27,SUD_F1,SUD,977.8,952.2,20
2024-02-28,SUD_F1,SUD,954.0,902.8,20
2024-02-29,SUD_F1,SUD,992.9,971.2,20
2024-03-01,SUD_F1,SUD,979.6,958.7,20
2024-03-02,SUD_F1,SUD,647.0,609.9,20
2024-03-03,SUD_F1,SUD,661.1,646.1,20
2024-03-04,SUD_F1,SUD,1017.0,966.8,20
2024-03-05,SUD_F1,SUD,988.8,960.0,20
2024-03-06,SUD_F1,SUD,1005.5,975.7,20
2024-03-07,SUD_F1,SUD,989.5,964.1,20
2024-03-08,SUD_F1,SUD,953.6,920.6,20
2024-03-09,SUD_F1,SUD,694.7,655.0,20
2024-03-10,SUD_F1,SUD,642.4,628.9,20
2024-03-11,SUD_F1,SUD,926.8,874.6,20
2024-03-12,SUD_F1,SUD,1018.2,981.1,20
2024-03-13,SUD_F1,SUD,1021.7,988.7,20
2024-03-14,SUD_F1,SUD,913.1,861.3,20
2024-03-15,SUD_F1,SUD,980.6,944.7,20
2024-03-16,SUD_F1,SUD,697.8,669.0,20
2024-03-17,SUD_F1,SUD,664.5,634.1,20
2024-03-18,SUD_F1,SUD,998.8,948.0,20
2024-03-19,SUD_F1,SUD,1015.6,989.9,20
2024-03-20,SUD_F1,SUD,979.5,934.8,20
2024-03-21,SUD_F1,SUD,877.7,827.8,20
2024-03-22,SUD_F1,SUD,881.2,860.3,20
2024-03-23,SUD_F1,SUD,685.6,649.2,20
2024-03-24,SUD_F1,SUD,694.0,675.9,20
2024-03-25,SUD_F1,SUD,937.2,904.6,20
2024-03-26,SUD_F1,SUD,975.3,923.3,20
2024-03-27,SUD_F1,SUD,984.0,929.1,20
2024-03-28,SUD_F1,SUD,988.2,960.4,20
2024-03-29,SUD_F1,SUD,1024.3,974.6,20
2024-03-30,SUD_F1,SUD,688.3,667.8,20
2024-01-01,SUD_F2,SUD,731.6,709.9,19
2024-01-02,SUD_F2,SUD,786.0,751.0,19
2024-01-03,SUD_F2,SUD,744.7,719.4,19
2024-01-04,SUD_F2,SUD,733.8,700.8,19
2024-01-05,SUD_F2,SUD,725.9,697.2,19
2024-01-06,SUD_F2,SUD,544.4,531.7,19
2024-01-07,SUD_F2,SUD,511.0,486.4,19
2024-01-08,SUD_F2,SUD,762.0,719.7,19
2024-01-09,SUD_F2,SUD,759.9,719.9,19
2024-01-10,SUD_F2,SUD,739.1,705.4,19
2024-01-11,SUD_F2,SUD,743.8,712.0,19
2024-01-12,SUD_F2,SUD,741.0,718.5,19
2024-01-13,SUD_F2,SUD,502.6,488.9,19
2024-01-14,SUD_F2,SUD,533.4,513.6,19
2024-01-15,SUD_F2,SUD,764.5,744.6,19
2024-01-16,SUD_F2,SUD,773.5,740.7,19
2024-01-17,SUD_F2,SUD,712.9,692.4,19
2024-01-18,SUD_F2,SUD,746.9,716.1,19
2024-01-19,SUD_F2,SUD,737.1,701.3,19
2024-01-20,SUD_F2,SUD,512.1,498.7,19
2024-01-21,SUD_F2,SUD,520.0,492.4,19
2024-01-22,SUD_F2,SUD,764.7,722.2,19
2024-01-23,SUD_F2,SUD,783.4,747.9,19
2024-01-24,SUD_F2,SUD,720.5,693.4,19
2024-01-25,SUD_F2,SUD,729.2,706.5,19
2024-01-26,SUD_F2,SUD,738.0,723.1,19
2024-01-27,SUD_F2,SUD,552.2,524.0,19
2024-01-28,SUD_F2,SUD,532.1,514.7,19
2024-01-29,SUD_F2,SUD,717.0,702.5,19
2024-01-30,SUD_F2,SUD,744.1,711.1,19
2024-01-31,SUD_F2,SUD,791.2,749.7,19
2024-02-01,SUD_F2,SUD,760.5,742.0,19
2024-02-02,SUD_F2,SUD,765.3,723.9,19
2024-02-03,SUD_F2,SUD,556.9,535.2,19
2024-02-04,SUD_F2,SUD,540.9,511.4,19
2024-02-05,SUD_F2,SUD,738.2,711.0,19
2024-02-06,SUD_F2,SUD,740.7,703.1,19
2024-02-07,SUD_F2,SUD,738.5,712.5,19
2024-02-08,SUD_F2,SUD,734.3,708.0,19
2024-02-09,SUD_F2,SUD,712.2,692.0,19
2024-02-10,SUD_F2,SUD,550.2,519.8,19
2024-02-11,SUD_F2,SUD,546.0,520.8,19
2024-02-12,SUD_F2,SUD,707.3,692.0,19
2024-02-13,SUD_F2,SUD,756.8,718.1,19
2024-02-14,SUD_F2,SUD,740.1,725.1,19
2024-02-15,SUD_F2,SUD,768.0,726.8,19
2024-02-16,SUD_F2,SUD,739.8,719.0,19
2024-02-17,SUD_F2,SUD,506.2,485.3,19
2024-02-18,SUD_F2,SUD,532.1,510.4,19
2024-02-19,SUD_F2,SUD,752.5,735.8,19
2024-02-20,SUD_F2,SUD,796.8,761.7,19
2024-02-21,SUD_F2,SUD,752.9,714.6,19
2024-02-22,SUD_F2,SUD,748.3,729.5,19
2024-02-23,SUD_F2,SUD,721.8,702.4,19
2024-02-24,SUD_F2,SUD,508.2,493.3,19
2024-02-25,SUD_F2,SUD,529.8,511.6,19
2024-02-26,SUD_F2,SUD,741.9,707.0,19
2024-02-27,SUD_F2,SUD,712.5,673.4,19
2024-02-28,SUD_F2,SUD,753.9,728.6,19
2024-02-29,SUD_F2,SUD,720.0,706.2,19
2024-03-01,SUD_F2,SUD,724.6,685.6,19
2024-03-02,SUD_F2,SUD,544.0,517.2,19
2024-03-03,SUD_F2,SUD,525.6,496.3,19
2024-03-04,SUD_F2,SUD,755.1,716.2,19
2024-03-05,SUD_F2,SUD,737.7,709.3,19
2024-03-06,SUD_F2,SUD,714.2,699.6,19
2024-03-07,SUD_F2,SUD,744.5,706.8,19
2024-03-08,SUD_F2,SUD,768.9,735.1,19
2024-03-09,SUD_F2,SUD,559.5,535.1,19
2024-03-10,SUD_F2,SUD,550.1,527.8,19
2024-03-11,SUD_F2,SUD,751.7,736.7,19
2024-03-12,SUD_F2,SUD,762.3,730.7,19
2024-03-13,SUD_F2,SUD,748.0,718.6,19
2024-03-14,SUD_F2,SUD,732.4,693.8,19
2024-03-15,SUD_F2,SUD,780.2,737.7,19
2024-03-16,SUD_F2,SUD,522.9,500.8,19
2024-03-17,SUD_F2,SUD,545.4,525.5,19
2024-03-18,SUD_F2,SUD,717.9,692.6,19
2024-03-19,SUD_F2,SUD,765.3,726.2,19
2024-03-20,SUD_F2,SUD,740.6,710.5,19
2024-03-21,SUD_F2,SUD,758.3,727.9,19
2024-03-22,SUD_F2,SUD,739.9,709.4,19
2024-03-23,SUD_F2,SUD,522.7,493.1,19
2024-03-24,SUD_F2,SUD,537.6,512.3,19
2024-03-25,SUD_F2,SUD,736.7,717.3,19
2024-03-26,SUD_F2,SUD,726.7,704.4,19
2024-03-27,SUD_F2,SUD,700.2,682.9,19
2024-03-28,SUD_F2,SUD,750.4,731.7,19
2024-03-29,SUD_F2,SUD,769.9,747.0,19
2024-03-30,SUD_F2,SUD,503.0,486.6,19
2024-01-01,SUD_F3,SUD,900.4,851.9,19
2024-01-02,SUD_F3,SUD,864.6,825.5,19
2024-01-03,SUD_F3,SUD,808.4,792.2,19
2024-01-04,SUD_F3,SUD,875.8,827.3,19
2024-01-05,SUD_F3,SUD,886.0,853.7,19
2024-01-06,SUD_F3,SUD,631.8,616.9,19
2024-01-07,SUD_F3,SUD,603.6,569.4,19
2024-01-08,SUD_F3,SUD,829.6,813.0,19
2024-01-09,SUD_F3,SUD,923.3,875.9,19
2024-01-10,SUD_F3,SUD,888.4,837.8,19
2024-01-11,SUD_F3,SUD,859.7,835.2,19
2024-01-12,SUD_F3,SUD,911.7,860.4,19
2024-01-13,SUD_F3,SUD,626.9,600.2,19
2024-01-14,SUD_F3,SUD,603.5,587.6,19
2024-01-15,SUD_F3,SUD,884.1,837.6,19
2024-01-16,SUD_F3,SUD,876.2,850.3,19
2024-01-17,SUD_F3,SUD,862.8,816.9,19
2024-01-18,SUD_F3,SUD,871.1,826.0,19
2024-01-19,SUD_F3,SUD,872.0,827.6,19
2024-01-20,SUD_F3,SUD,604.7,583.3,19
2024-01-21,SUD_F3,SUD,602.3,581.6,19
2024-01-22,SUD_F3,SUD,878.7,837.1,19
2024-01-23,SUD_F3,SUD,836.5,792.1,19
2024-01-24,SUD_F3,SUD,826.3,804.1,19
2024-01-25,SUD_F3,SUD,880.6,859.0,19
2024-01-26,SUD_F3,SUD,862.6,833.1,19
2024-01-27,SUD_F3,SUD,622.9,592.2,19
