date,region,injection_kwh,total_conso
2024-01-01,NORD,4021.9,3823.2
2024-01-02,NORD,4007.0,3840.3
2024-01-03,NORD,3934.4,3796.5
2024-01-04,NORD,4036.2,3780.8
2024-01-05,NORD,3978.8,3721.5
2024-01-06,NORD,2611.9,2516.1
2024-01-07,NORD,2723.6,2565.9
2024-01-08,NORD,3876.3,3723.2
2024-01-09,NORD,3959.6,3770.1
2024-01-10,NORD,3942.8,3792.4
2024-01-11,NORD,4035.9,3772.9
2024-01-12,NORD,3790.9,3657.7
2024-01-13,NORD,2704.9,2594.9
2024-01-14,NORD,2616.8,2509.5
2024-01-15,NORD,3937.4,3794.5
2024-01-16,NORD,3913.9,3737.8
2024-01-17,NORD,3892.3,3739.4
2024-01-18,NORD,3818.0,3703.7
2024-01-19,NORD,3852.1,3738.8
2024-01-20,NORD,2628.6,2545.7
2024-01-21,NORD,2744.8,2593.9
2024-01-22,NORD,4009.5,3755.5
2024-01-23,NORD,4073.3,3837.1
2024-01-24,NORD,3961.7,3800.5
2024-01-25,NORD,3836.6,3709.3
2024-01-26,NORD,3959.5,3707.1
2024-01-27,NORD,2689.4,2578.5
2024-01-28,NORD,2717.6,2554.2
2024-01-29,NORD,3883.1,3772.0
2024-01-30,NORD,3902.6,3784.6
2024-01-31,NORD,3895.0,3781.4
2024-02-01,NORD,4014.1,3807.8
2024-02-02,NORD,4052.6,3835.0
2024-02-03,NORD,2627.9,2532.3
2024-02-04,NORD,2666.5,2518.2
2024-02-05,NORD,3916.0,3801.0
2024-02-06,NORD,3911.6,3800.6
2024-02-07,NORD,3993.4,3819.8
2024-02-08,NORD,4091.0,3855.2
2024-02-09,NORD,3918.7,3785.7
2024-02-10,NORD,2648.6,2513.6
2024-02-11,NORD,2705.5,2556.4
2024-02-12,NORD,3890.0,3770.1
2024-02-13,NORD,4029.2,3793.2
2024-02-14,NORD,3939.1,3751.7
2024-02-15,NORD,3886.4,3769.0
2024-02-16,NORD,3922.7,3805.4
2024-02-17,NORD,2635.2,2546.4
2024-02-18,NORD,2727.1,2555.2
2024-02-19,NORD,3981.6,3760.5
2024-02-20,NORD,3967.1,3734.6
2024-02-21,NORD,3920.0,3777.7
2024-02-22,NORD,3973.0,3760.5
2024-02-23,NORD,4058.3,3870.0
2024-02-24,NORD,2704.7,2537.7
2024-02-25,NORD,2696.9,2538.8
2024-02-26,NORD,3859.2,3648.3
2024-02-27,NORD,3921.9,3791.6
2024-02-28,NORD,3956.6,3751.6
2024-02-29,NORD,3870.3,3678.3
2024-03-01,NORD,4001.3,3786.0
2024-03-02,NORD,2741.4,2601.9
2024-03-03,NORD,2654.0,2539.7
2024-03-04,NORD,3960.6,3776.2
2024-03-05,NORD,3975.0,3785.5
2024-03-06,NORD,3958.1,3790.5
2024-03-07,NORD,3918.7,3704.1
2024-03-08,NORD,4032.5,3841.3
2024-03-09,NORD,2651.6,2563.7
2024-03-10,NORD,2588.7,2511.9
2024-03-11,NORD,3956.7,3750.6
2024-03-12,NORD,3884.6,3700.2
2024-03-13,NORD,4002.8,3818.0
2024-03-14,NORD,3930.7,3790.1
2024-03-15,NORD,3981.0,3783.1
2024-03-16,NORD,2662.5,2516.8
2024-03-17,NORD,2650.1,2527.4
2024-03-18,NORD,3887.3,3747.6
2024-03-19,NORD,4028.8,3797.0
2024-03-20,NORD,3913.1,3771.9
2024-03-21,NORD,3954.0,3801.2
2024-03-22,NORD,3942.3,3792.8
2024-03-23,NORD,2724.6,2592.3
2024-03-24,NORD,2656.5,2553.7
2024-03-25,NORD,4002.2,3771.4
2024-03-26,NORD,3831.2,3690.3
2024-03-27,NORD,3948.3,3808.6
2024-03-28,NORD,3945.2,3799.9
2024-03-29,NORD,4080.0,3831.5
2024-03-30,NORD,2736.5,2567.3
2024-01-01,SUD,2646.2,2537.8
2024-01-02,SUD,2690.5,2531.2
2024-01-03,SUD,2471.5,2354.7
2024-01-04,SUD,2681.3,2533.6
2024-01-05,SUD,2700.8,2537.7
2024-01-06,SUD,1871.0,1767.9
2024-01-07,SUD,1748.6,1663.6
